peak_group_id,peak_name,mz,rt,isotope,adduct,base_peak,neutral_mass,num_peaks
[1],M71T326_NEG,71.0123,325.7,[M],[M-H]-,M71T326_NEG,72.0196,2
[1],M143T326_NEG,143.0338,326.3,[M],[2M-H]-,M71T326_NEG,72.0196,2
[2],M75T140_NEG,75.0072,139.6,[M],[M-H]-,M75T140_NEG,76.0145,2
[2],M76T139_NEG,76.0105,139.4,[M+1],[M-H]-,M75T140_NEG,76.0145,2
[3],M102T452_NEG,102.0545,452,[M],[M-H]-,M102T452_NEG,103.0618,1
[4],M103T399_NEG,103.0022,398.6,[M],[M-H]-,M103T399_NEG,104.0095,1
[5],M114T384_NEG,114.0546,384.2,[M],[M-H]-,M114T384_NEG,115.0619,1
[6],M115T95_NEG,115.075,95.2,[M],[M-H]-,M115T95_NEG,116.0823,1
[7],M116T371_NEG,116.0703,371.2,[M],[M-H]-,M116T371_NEG,117.0776,1
[8],M117T353_NEG,117.0179,353.2,[M],[M-H]-,M117T353_NEG,118.0252,1
[9],M118T408_1_NEG,118.0495,408.3,[M],[M-H]-,M118T408_1_NEG,119.0568,1
[10],M128T362_NEG,128.034,362.2,[M],[M-H]-,M128T362_NEG,129.0413,3
[10],M129T362_NEG,129.0373,362.3,[M+1],[M-H]-,M128T362_NEG,129.0413,3
[10],M257T362_NEG,257.0779,362.3,[M],[2M-H]-,M128T362_NEG,129.0413,3
[11],M129T99_NEG,129.0544,98.6,[M],[M-H]-,M129T99_NEG,130.0617,1
[12],M130T405_NEG,130.0496,404.5,[M],[M-H]-,M130T405_NEG,131.0569,1
[13],M130T345_1_NEG,130.086,345.2,[M],[M-H]-,M130T345_1_NEG,131.0933,1
[14],M71T399_NEG,71.0123,398.6,[M],ISF,M131T397_NEG,132.0409,2
[14],M131T397_NEG,131.0336,396.9,[M],[M-H]-,M131T397_NEG,132.0409,2
[15],M133T937_NEG,133.0129,937,[M],[M-H]-,M133T937_NEG,134.0202,1
[16],M74T423_NEG,74.0231,423.2,[M],ISF,M145T423_NEG,146.0679,6
[16],M127T423_NEG,127.0499,423,[M],[M-H2O-H]-,M145T423_NEG,146.0679,6
[16],M131T424_NEG,131.0448,424,[M],[M-CH2-H]-,M145T423_NEG,146.0679,6
[16],M145T423_NEG,145.0606,422.7,[M],[M-H]-,M145T423_NEG,146.0679,6
[16],M146T423_NEG,146.0639,422.7,[M+1],[M-H]-,M145T423_NEG,146.0679,6
[16],M291T422_NEG,291.1314,421.9,[M],[2M-H]-,M145T423_NEG,146.0679,6
[17],M145T134_NEG,145.0857,133.6,[M],[M-H]-,M145T134_NEG,146.093,1
[18],M102T433_NEG,102.0545,433.1,[M],[M-CO2-H]-,M146T433_2_NEG,147.0519,2
[18],M146T433_2_NEG,146.0446,433.1,[M],[M-H]-,M146T433_2_NEG,147.0519,2
[19],M111T100_NEG,111.0185,100.3,[M],ISF,M153T103_NEG,154.0254,3
[19],M153T103_NEG,153.0181,102.9,[M],[M-H]-,M153T103_NEG,154.0254,3
[19],M194T103_NEG,194.0449,102.5,[M],[M+CH3CN-H]-,M153T103_NEG,154.0254,3
[20],M97T186_NEG,97.0028,185.7,[M],ISF,M157T186_2_NEG,158.0429,4
[20],M114T186_NEG,114.0294,185.7,[M],ISF,M157T186_2_NEG,158.0429,4
[20],M157T186_2_NEG,157.0356,185.6,[M],[M-H]-,M157T186_2_NEG,158.0429,4
[20],M193T185_NEG,193.0124,185.4,[M],[M+Cl]-,M157T186_2_NEG,158.0429,4
[21],M100T399_3_NEG,100.0388,398.6,[M],[M-C2H4O2-H]-,M160T398_NEG,161.0676,5
[21],M101T399_2_NEG,101.0421,398.7,[M+1],[M-C2H4O2-H]-,M160T398_NEG,161.0676,5
[21],M102T399_NEG,102.0431,398.7,[M+2],[M-C2H4O2-H]-,M160T398_NEG,161.0676,5
[21],M160T398_NEG,160.0603,397.7,[M],[M-H]-,M160T398_NEG,161.0676,5
[21],M196T399_NEG,196.0273,399.1,[M],[M+Cl]-,M160T398_NEG,161.0676,5
[22],M163T96_NEG,163.0389,96.5,[M],[M-H]-,M163T96_NEG,164.0462,1
[23],M164T329_2_NEG,164.0707,329.1,[M],[M-H]-,M164T329_2_NEG,165.078,1
[24],M135T399_NEG,135.0285,398.6,[M],[M-CH2O-H]-,M165T398_NEG,166.0465,2
[24],M165T398_NEG,165.0392,398.2,[M],[M-H]-,M165T398_NEG,166.0465,2
