peak_name,mz,rt,id_kegg,id_zhulab,name,formula,confidence_level,smiles,inchikey,isotope,adduct,total_score,mz_error,rt_error_abs,rt_error_rela,ms2_score,iden_score,iden_type,peak_group_id,base_peak,num_peaks,cons_formula_pred,stereo_isomer_id,stereo_isomer_name,Size_3_3,Size_3_1,Size_3_2,Size_5_1,Size_1_2,Size_4_2,Size_2_2,Size_2_3,Size_6_2,Size_1_3,Size_4_1,Size_2_1,Size_1_1,Size_6_1,Size_5_2
M255T942_NEG,255.2329,941.9,C00249,S0135,Palmitic acid,C16H32O2,level2,CCCCCCCCCCCCCCCC(=O)O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,[M],[M-H]-,2.75,0.1,NA,NA,1,0.75,MS1 + ExpLib Match,[42],M255T942_NEG_[M-H]-,2,TRUE,C00249,Hexadecanoic acid,28985272.34404861,37287028.33533424,27705655.632660802,22952302.977198794,26960608.813793283,23411262.163283553,31623061.09927165,35112377.168015175,38100750.295154534,35510546.31266973,42245195.75929208,43216211.732096374,37986525.616690524,33188428.689987388,34834036.84472695
M255T981_NEG,255.2329,981.4,C00249,S0135,Palmitic acid,C16H32O2,level2,CCCCCCCCCCCCCCCC(=O)O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,[M],[M-H]-,2.75,0.2,NA,NA,1,0.75,MS1 + ExpLib Match,[43],M255T981_NEG_[M-H]-,1,TRUE,C00249,Hexadecanoic acid,161861187.1667309,115583736.16947193,44927200.75662723,89772478.55507414,116646321.43189,72330441.90296997,133247922.20066506,57554038.737954624,142861344.4003638,127882913.10884197,56035561.00580806,73882975.20317507,135478711.4658872,77736909.5435938,94937336.32864188
M255T1077_NEG,255.2329,1077,C00249,S0135,Palmitic acid,C16H32O2,level2,CCCCCCCCCCCCCCCC(=O)O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,[M],[M-H]-,2.75,0.2,NA,NA,1,0.75,MS1 + ExpLib Match,[44],M255T1077_NEG_[M-H]-,1,TRUE,C00249,Hexadecanoic acid,56124964.251744986,56707908.8046654,54874628.843515314,64623171.75375128,63714213.85477278,39631996.751910254,62929815.85731468,69103007.15341632,68207299.8602496,83030283.87818654,73604932.81085043,26897619.990529288,56463563.46975093,62381068.40038019,53272335.11673403
M277T67_NEG_a,277.2175,67.3,C06427,L0146,alpha-Linolenic acid,C18H30O2,level2,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,DTOSIQBPPRVQHS-PDBXOOCHSA-N,[M],[M-H]-,2.74,0.6,NA,NA,1,0.74,MS1 + ExpLib Match,[45],M277T67_NEG_[M-H]-,3,FALSE,C06427,"(9Z,12Z,15Z)-Octadecatrienoic acid",28336197.33150181,25691416.227303382,34650100.05544259,277295221.87543136,17877546.626405824,52815346.20288259,19798672.136451844,74740022.34680419,301603287.2681735,70004582.27964164,263096089.8268421,12217521.679524861,462247268.0902388,342775441.5715957,304450779.78089535
M277T67_NEG_b,277.2175,67.3,NA,L0366,"all cis-(6,9,12)-Linolenic acid",C18H30O2,level2,CCCCCC=CCC=CCC=CCCCCC(=O)O,VZCCETWTMQHEPK-QNEBEIHSSA-N,[M],[M-H]-,2.74,0.6,NA,NA,0.9996,0.74,MS1 + ExpLib Match,[45],M277T67_NEG_[M-H]-,3,FALSE,C06426,"(6Z,9Z,12Z)-Octadecatrienoic acid",28336197.33150181,25691416.227303382,34650100.05544259,277295221.87543136,17877546.626405824,52815346.20288259,19798672.136451844,74740022.34680419,301603287.2681735,70004582.27964164,263096089.8268421,12217521.679524861,462247268.0902388,342775441.5715957,304450779.78089535
M279T67_NEG,279.2331,67,C01595,L0126,Linoleic acid,C18H32O2,level2,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,[M],[M-H]-,2.74,0.6,NA,NA,0.9999,0.74,MS1 + ExpLib Match,[46],M279T67_NEG_[M-H]-,6,TRUE,C01595,Linoleate,420519156.67779636,325641393.33153665,463697206.5840583,3957933710.564083,273046995.2876125,732261101.3375154,377197535.61155325,773045444.6052933,3687828603.374437,980970649.5801947,4361151344.737004,247387245.35062784,4200768401.646725,4941206691.5538025,4115851222.9188595
M243T139_NEG,243.0623,138.6,C00299,S0031,Uridine,C9H12N2O6,level2,C1=CN(C2(C(C(C(CO)(O2)[H])(O)[H])(O)[H])[H])C(N=C1O)=O,DRTQHJPVMGBUCF-AYZDMWBASA-N,[M],[M-H]-,2.73,0.1,NA,NA,0.9631,0.73,MS1 + ExpLib Match,[40],M243T139_NEG_[M-H]-,5,TRUE,C00299;C16745,Uridine;Spongouridine,41621778.25718316,38047659.22344514,35479700.29792019,47722358.88459411,30699352.541232493,20352005.675008565,39012744.31891336,12222408.963191979,83142300.40097159,35174664.10830955,22547299.60603791,22504381.758854974,37435292.693708375,45869059.106636114,51701046.79801724
M253T68_NEG,253.2175,67.6,C08362,L0166,cis-9-Palmitoleic acid,C16H30O2,level2,CCCCCC/C=C\CCCCCCCC(=O)O,SECPZKHBENQXJG-FPLPWBNLSA-N,[M],[M-H]-,2.73,1,NA,NA,1,0.73,MS1 + ExpLib Match,[41],M253T68_NEG_[M-H]-,4,TRUE,C08362,(9Z)-Hexadecenoic acid,17220437.60882312,13338338.504967144,18592427.96900045,21880457.090136506,11932014.064211344,24134343.300693054,25146168.015771132,14557508.958733007,14995390.504941663,23316749.24508395,35135186.886744805,17124697.12352179,28975782.530646928,64124902.54820507,29533320.829299334
M283T66_NEG,283.2645,66.3,C01530,S0233,Stearic acid,C18H36O2,level2,CCCCCCCCCCCCCCCCCC(=O)O,QIQXTHQIDYTFRH-UHFFFAOYSA-N,[M],[M-H]-,2.73,1.1,NA,NA,0.9998,0.73,MS1 + ExpLib Match,[48],M283T66_NEG_[M-H]-,3,TRUE,C01530,Octadecanoic acid,342026875.06708425,406003558.79108024,414526447.1881047,267999109.49758214,274723862.7892001,252136945.95575234,231654818.18964535,437226108.19968563,138708254.6196779,340146296.0509228,235557838.49306914,239436677.68739155,258659571.88490716,195708190.02519023,235817308.5011378
M220T289_NEG_a,220.0822,288.9,C00645,L0324,N-Acetylmannosamine,C8H15NO6,level2,[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(NC(C)=O)C=O,MBLBDJOUHNCFQT-WCTZXXKLSA-N,[M],[M-H]-,2.71,2,NA,NA,0.9902,0.71,MS1 + ExpLib Match,[37],M220T289_NEG_[M-H]-,3,TRUE,NA,NA,4159344.0250599273,4867688.687323633,3080492.777816721,18826594.781047206,4037356.1560419877,2255804.6944708917,5037116.108498412,7320821.399534074,13307899.647379695,1473716.5169219084,954196.5714974349,8536472.776175374,8027184.234746006,5952675.399065011,24992034.655418124
