name,mz,rt,Size_3_3,Size_3_1,Size_3_2,Size_5_1,Size_1_2,Size_4_2,Size_2_2,Size_2_3,Size_6_2,Size_1_3,Size_4_1,Size_2_1,Size_1_1,Size_6_1,Size_5_2
M71T433_1_NEG,70.79956364,432.8219452,3091855.057,2085019.786,1905676.819,664387.2256,3720135.299,1287928.896,3394402.753,3232872.171,10568992.3,918748.4364,1752896.334,12693163.83,582213.5665,850000.3122,870882.3465
M71T263_NEG,71.01223715,263.1809998,116925958.1,96365165.15,192339293.6,113131330.8,106417644.1,95514155.01,67458429.03,87557681.43,496427621.6,72098822.44,123782927.3,161168355.4,111671669.5,176818278.2,140116757.1
M71T399_NEG,71.01226253,398.5847778,23495253.55,28620184.25,20258749.62,47833166.78,27235282.17,30163025.57,54328041.55,28342965.93,50415303.58,27961678.05,32965216.07,45735225.92,23932552.71,68956926.61,51357975.62
M71T326_NEG,71.01225137,325.7176819,17986794.66,23632434.85,49154682.89,21379617.77,6956836.471,16254419.5,21492418.5,35342526.85,112387538.9,22641504.66,12278382.59,132253707.7,13803054.63,20712569.67,22919592.4
M72T399_NEG,72.00752617,398.6317139,62726487.71,90313884.08,41971720.51,171800057.7,57049897.76,65448839.22,115514954.1,38141232,112888285.7,35599938.22,67735114.01,82005525.71,44341943.72,162449521.4,230562632.7
M72T427_1_NEG,72.13823905,427.0359497,2087426.804,8662234.574,4733405.101,809169.5925,520281.4061,2942368.273,6281012.802,2771897.917,9855237.816,1263688.885,1368574.27,2975544.156,651147.1859,3364594.661,2279480.887
M72T432_NEG,72.24758889,432.3693237,3936720.834,1225913.729,1288101.831,1519853.6,3109401.839,1671510.536,2684238.001,1171479.434,2548578.32,1145183.358,1411105.537,2349518.375,1266053.925,1709767.229,2607957.274
M73T78_NEG,73.02792725,77.74258041,3985446.1,3502100.928,2931558.84,3672725.368,4190451.234,3297165.361,4620254.68,4553228.436,3759145.41,4088346.674,3835955.09,4522100.644,4162781.193,3794969.666,4007026.23
M74T458_1_NEG,73.91426616,458.1305237,4443571.956,11519841.24,12769863.15,13539470.02,4067935.368,5205982.717,20311914.79,20901882.47,22520497.39,4708199.159,4324994.893,24938210.58,6101390.68,11044246.58,16118225.69
M74T458_2_NEG,74.02577081,458.066864,748921.5085,1505449.071,2253780.303,2594559.469,341071.4056,620312.2432,4471951.635,4579675.839,4608685.572,702723.0131,553899.1412,5288543.54,648928.3068,1780638.189,2379948.626
M74T423_NEG,74.02314781,423.2278748,5290826.187,13630187.72,2603339.465,2692791.472,3484863.822,3338261.761,7139652.057,3219658.014,4462343.62,2490024.114,3375302.338,2366180.667,2566010.619,3285887.394,3587860.937
M75T390_1_NEG,74.6927715,390.1204529,1931549.041,2006510.58,1864093.375,3322017.13,2421870.9,2312141.982,2740750.369,2741699.187,10043225.25,1528827.751,3360909.116,1973633.454,2899549.727,2367227.449,3295012.619
M75T140_NEG,75.00717883,139.5853882,85194939.02,85249457.77,76733532.12,122198473.7,83294419.93,68671065.71,71917627.96,61774780.32,80182568.24,81336775.49,74711835.16,105197148.2,50745623.09,78132067.39,153737971.8
M75T514_NEG,75.46960699,513.8768921,13844983.06,18542132.88,18093211.27,23983947.45,10974685.41,11625580.83,22471408.28,28873112.9,18429543.55,11546802.95,9910338.354,18800408.62,14226048.36,16924532.4,27172611.42
M76T514_NEG,75.58106402,513.9283447,2139038.185,3273350.228,3384524.212,3645812.154,1649614.162,1523298.125,3287714.595,3802393.134,2489056.756,1743640.95,1378153.962,2809089.208,2092257.517,2505669.302,3724057.355
M76T389_1_NEG,75.91553186,389.483017,4770550.822,10297150.52,11116798.69,16601180.43,4482697.558,5953880.683,17412291.48,14567197.72,25004852.85,7407532.902,8498941.231,23070929.13,6940721.92,10493314.6,22244949.79
M76T139_NEG,76.0105181,139.3909683,1010756.475,981362.223,745178.2155,1564259.359,984267.1895,504408.0858,801211.1813,842784.6407,895457.3437,898243.7824,1069505.829,1601771.039,479206.5111,1084058.733,1923009.413
M78T458_1_NEG,77.91188007,458.1941833,729509.7048,1475680.354,1880533.51,1055632.783,324366.2991,465294.4321,4501960.555,4365481.16,4105847.45,197215.0635,603491.7165,4988327.716,378690.1796,914072.587,2206568.556
M78T513_NEG,78.02554613,512.9099731,2804414.109,3924369.842,3463383.949,5594763.21,2149009.789,2494324.297,4322943.116,5084908.418,3899045.844,2399444.711,2130655.554,4297377.358,3173505.508,3440252.073,6478474.641
