peak_group_id,peak_name,mz,rt,isotope,adduct,base_peak,neutral_mass,num_peaks
[1],M85T72_POS,85.0289,72.2,[M],[M+H]+,M85T72_POS,84.0216,2
[1],M145T74_POS,145.0494,74.5,[M],[M+CH3COO+2H]+,M85T72_POS,84.0216,2
[2],M87T63_POS,87.0445,63.3,[M],ISF,M104T63_POS,104.1077,3
[2],M104T63_POS,104.1072,63.3,[M],[M]+,M104T63_POS,104.1077,3
[2],M105T63_POS,105.1105,63.3,[M+1],[M]+,M104T63_POS,104.1077,3
[3],M70T64_POS,70.0657,64.3,[M],ISF,M116T64_POS,115.0635,8
[3],M72T67_POS,72.0814,67,[M],[M-CO2+H]+,M116T64_POS,115.0635,8
[3],M84T67_POS,84.0448,67.2,[M],[M-CH4O+H]+,M116T64_POS,115.0635,8
[3],M86T63_POS,86.0605,62.8,[M],[M-CH2O+H]+,M116T64_POS,115.0635,8
[3],M102T64_1_POS,102.0551,64.3,[M],[M-CH2+H]+,M116T64_POS,115.0635,8
[3],M103T64_POS,103.0584,64.3,[M+1],[M-CH2+H]+,M116T64_POS,115.0635,8
[3],M116T64_POS,116.0708,64.3,[M],[M+H]+,M116T64_POS,115.0635,8
[3],M117T64_POS,117.0741,64.3,[M+1],[M+H]+,M116T64_POS,115.0635,8
[4],M118T932_POS,118.0864,931.8,[M],[M+H]+,M118T932_POS,117.0791,2
[4],M119T931_POS,119.0896,930.9,[M+1],[M+H]+,M118T932_POS,117.0791,2
[5],M72T67_POS,72.0814,67,[M],ISF,M118T67_POS,117.079,3
[5],M118T67_POS,118.0863,67.1,[M],[M+H]+,M118T67_POS,117.079,3
[5],M119T67_POS,119.0896,67.1,[M+1],[M+H]+,M118T67_POS,117.079,3
[6],M90T64_POS,90.0554,64.3,[M],[M-CH2O+H]+,M120T66_POS,119.0583,6
[6],M102T64_1_POS,102.0551,64.3,[M],ISF,M120T66_POS,119.0583,6
[6],M103T64_POS,103.0584,64.3,[M+1],ISF,M120T66_POS,119.0583,6
[6],M106T67_POS,106.05,67.2,[M],[M-CH2+H]+,M120T66_POS,119.0583,6
[6],M120T66_POS,120.0656,66.1,[M],[M+H]+,M120T66_POS,119.0583,6
[6],M161T64_POS,161.092,64.3,[M],[M+CH3CN+H]+,M120T66_POS,119.0583,6
[7],M105T136_POS,105.0701,136.4,[M],[M-NH3+H]+,M122T136_POS,121.0892,3
[7],M106T136_POS,106.0734,136.3,[M+1],[M-NH3+H]+,M122T136_POS,121.0892,3
[7],M122T136_POS,122.0965,136.4,[M],[M+H]+,M122T136_POS,121.0892,3
[8],M101T66_POS,101.0715,66.2,[M],[M-CO+H]+,M129T64_POS,128.0585,4
[8],M102T64_1_POS,102.0551,64.3,[M],ISF,M129T64_POS,128.0585,4
[8],M103T64_POS,103.0584,64.3,[M+1],ISF,M129T64_POS,128.0585,4
[8],M129T64_POS,129.0658,64.2,[M],[M+H]+,M129T64_POS,128.0585,4
[9],M102T64_1_POS,102.0551,64.3,[M],[M-C2H4+H]+,M130T66_POS,129.0789,4
[9],M103T64_POS,103.0584,64.3,[M+1],[M-C2H4+H]+,M130T66_POS,129.0789,4
[9],M130T66_POS,130.0862,66.2,[M],[M+H]+,M130T66_POS,129.0789,4
[9],M131T66_POS,131.0896,66.2,[M+1],[M+H]+,M130T66_POS,129.0789,4
[10],M86T78_POS,86.0969,77.8,[M],ISF,M132T78_2_POS,131.0945,6
[10],M87T78_POS,87.1002,77.8,[M+1],ISF,M132T78_2_POS,131.0945,6
[10],M132T78_2_POS,132.1018,77.9,[M],[M+H]+,M132T78_2_POS,131.0945,6
[10],M133T78_POS,133.1051,78.1,[M+1],[M+H]+,M132T78_2_POS,131.0945,6
[10],M134T78_POS,134.106,78.4,[M+2],[M+H]+,M132T78_2_POS,131.0945,6
[10],M173T79_POS,173.1284,78.7,[M],[M+CH3CN+H]+,M132T78_2_POS,131.0945,6
[11],M136T956_POS,136.0755,955.5,[M],[M+H]+,M136T956_POS,135.0682,1
[12],M138T65_POS,138.0547,64.8,[M],[M+H]+,M138T65_POS,137.0474,2
[12],M139T65_POS,139.0582,65.1,[M+1],[M+H]+,M138T65_POS,137.0474,2
[13],M84T67_POS,84.0448,67.2,[M],ISF,M146T65_POS,146.118,3
[13],M87T63_POS,87.0445,63.3,[M],ISF,M146T65_POS,146.118,3
[13],M146T65_POS,146.1175,65.2,[M],[M]+,M146T65_POS,146.118,3
[14],M84T67_POS,84.0448,67.2,[M],ISF,M148T66_POS,147.053,4
[14],M102T64_1_POS,102.0551,64.3,[M],ISF,M148T66_POS,147.053,4
[14],M103T64_POS,103.0584,64.3,[M+1],ISF,M148T66_POS,147.053,4
[14],M148T66_POS,148.0603,66.2,[M],[M+H]+,M148T66_POS,147.053,4
[15],M139T65_POS,139.0582,65.1,[M],[M-NH3+H]+,M156T63_POS,155.0695,2
[15],M156T63_POS,156.0768,63.3,[M],[M+H]+,M156T63_POS,155.0695,2
[16],M146T65_POS,146.1175,65.2,[M],[M-O+H]+,M162T64_POS,161.1051,3
[16],M162T64_POS,162.1124,64.2,[M],[M+H]+,M162T64_POS,161.1051,3
[16],M163T64_POS,163.1156,64.3,[M+1],[M+H]+,M162T64_POS,161.1051,3
[17],M91T447_POS,91.0547,447.3,[M],ISF,M165T447_POS,164.0474,4
[17],M147T447_POS,147.0439,447.3,[M],[M-H2O+H]+,M165T447_POS,164.0474,4
[17],M148T447_POS,148.0473,447.3,[M+1],[M-H2O+H]+,M165T447_POS,164.0474,4
[17],M165T447_POS,165.0547,447.2,[M],[M+H]+,M165T447_POS,164.0474,4
[18],M93T94_POS,93.0702,93.8,[M],ISF,M166T94_1_POS,165.0788,8
[18],M107T94_POS,107.0494,93.9,[M],ISF,M166T94_1_POS,165.0788,8
[18],M120T94_POS,120.0809,93.8,[M],ISF,M166T94_1_POS,165.0788,8
[18],M121T94_POS,121.0842,93.8,[M+1],ISF,M166T94_1_POS,165.0788,8
[18],M149T94_POS,149.0597,93.8,[M],[M-NH3+H]+,M166T94_1_POS,165.0788,8
[18],M166T94_1_POS,166.0861,93.8,[M],[M+H]+,M166T94_1_POS,165.0788,8
[18],M167T94_POS,167.0894,93.9,[M+1],[M+H]+,M166T94_1_POS,165.0788,8
[18],M207T94_POS,207.1125,94,[M],[M+CH3CN+H]+,M166T94_1_POS,165.0788,8
[19],M136T74_POS,136.0755,73.9,[M],ISF,M182T77_POS,181.0737,6
[19],M150T76_POS,150.0582,75.9,[M],[M-CH4O+H]+,M182T77_POS,181.0737,6
[19],M151T76_POS,151.0617,76.2,[M+1],[M-CH4O+H]+,M182T77_POS,181.0737,6
[19],M165T77_POS,165.0547,76.7,[M],[M-NH3+H]+,M182T77_POS,181.0737,6
[19],M182T77_POS,182.081,76.7,[M],[M+H]+,M182T77_POS,181.0737,6
[19],M183T77_POS,183.0844,76.7,[M+1],[M+H]+,M182T77_POS,181.0737,6
[20],M121T754_POS,121.0284,754,[M],ISF,M190T754_POS,189.0425,5
[20],M149T754_2_POS,149.0232,754,[M],ISF,M190T754_POS,189.0425,5
[20],M150T754_POS,150.0266,754.2,[M+1],ISF,M190T754_POS,189.0425,5
[20],M190T754_POS,190.0498,754.2,[M],[M+H]+,M190T754_POS,189.0425,5
[20],M191T754_POS,191.0531,754,[M+1],[M+H]+,M190T754_POS,189.0425,5
[21],M146T148_POS,146.0599,148.5,[M],ISF,M205T148_1_POS,204.0895,7
[21],M188T148_2_POS,188.0703,148.3,[M],[M-NH3+H]+,M205T148_1_POS,204.0895,7
[21],M189T148_POS,189.0739,148.3,[M+1],[M-NH3+H]+,M205T148_1_POS,204.0895,7
[21],M205T148_1_POS,205.0968,148.3,[M],[M+H]+,M205T148_1_POS,204.0895,7
[21],M206T148_POS,206.1003,148.4,[M+1],[M+H]+,M205T148_1_POS,204.0895,7
[21],M207T148_POS,207.1041,148.2,[M+2],[M+H]+,M205T148_1_POS,204.0895,7
[21],M409T148_POS,409.1866,147.9,[M],[2M+H]+,M205T148_1_POS,204.0895,7
[22],M206T90_POS,206.1385,90.3,[M],[M+H]+,M206T90_POS,205.1312,1
[23],M146T148_POS,146.0599,148.5,[M],ISF,M209T149_POS,208.0845,2
[23],M209T149_POS,209.0918,148.6,[M],[M+H]+,M209T149_POS,208.0845,2
[24],M182T954_POS,182.0811,954.1,[M],ISF,M210T952_POS,209.0687,3
[24],M192T955_POS,192.0655,954.6,[M],ISF,M210T952_POS,209.0687,3
[24],M210T952_POS,210.076,951.8,[M],[M+H]+,M210T952_POS,209.0687,3
[25],M219T330_POS,219.1126,329.7,[M],[M+H]+,M219T330_POS,218.1053,1
[26],M220T92_POS,220.118,92.5,[M],[M+H]+,M220T92_POS,219.1107,2
[26],M221T92_POS,221.1212,92,[M+1],[M+H]+,M220T92_POS,219.1107,2
[27],M217T88_POS,217.1046,87.7,[M],ISF,M235T87_POS,234.1004,2
[27],M235T87_POS,235.1077,87.1,[M],[M+H]+,M235T87_POS,234.1004,2
[28],M213T99_POS,213.0757,99,[M],[M-CH2O+H]+,M243T102_POS,242.0791,2
[28],M243T102_POS,243.0864,101.8,[M],[M+H]+,M243T102_POS,242.0791,2
[29],M247T86_POS,247.1289,86.2,[M],[M+H]+,M247T86_POS,246.1216,1
[30],M284T909_POS,284.294,909.5,[M],[M+H]+,M284T909_POS,283.2867,5
[30],M285T910_POS,285.2983,909.5,[M+1],[M+H]+,M284T909_POS,283.2867,5
[30],M286T910_POS,286.3016,909.5,[M+2],[M+H]+,M284T909_POS,283.2867,5
[30],M325T912_POS,325.3215,911.5,[M],[M+CH3CN+H]+,M284T909_POS,283.2867,5
[30],M326T911_POS,326.3246,911.5,[M+1],[M+CH3CN+H]+,M284T909_POS,283.2867,5
[31],M261T815_POS,261.2213,814.8,[M],ISF,M289T816_POS,288.2089,3
[31],M289T816_POS,289.2162,815.9,[M],[M+H]+,M289T816_POS,288.2089,3
[31],M290T815_POS,290.2195,815.4,[M+1],[M+H]+,M289T816_POS,288.2089,3
[32],M298T112_POS,298.0971,111.7,[M],[M+H]+,M298T112_POS,297.0898,2
[32],M299T112_POS,299.1,112,[M+1],[M+H]+,M298T112_POS,297.0898,2
[33],M321T843_POS,321.3151,843.4,[M],[M-NH3+H]+,M338T843_2_POS,337.3334,7
[33],M322T843_POS,322.318,843.4,[M+1],[M-NH3+H]+,M338T843_2_POS,337.3334,7
[33],M338T843_2_POS,338.3407,843.4,[M],[M+H]+,M338T843_2_POS,337.3334,7
[33],M339T843_2_POS,339.3441,843.4,[M+1],[M+H]+,M338T843_2_POS,337.3334,7
[33],M340T843_POS,340.3483,843.4,[M+2],[M+H]+,M338T843_2_POS,337.3334,7
[33],M341T844_POS,341.3557,843.9,[M+3],[M+H]+,M338T843_2_POS,337.3334,7
[33],M379T843_POS,379.3677,843.4,[M],[M+CH3CN+H]+,M338T843_2_POS,337.3334,7
[34],M347T814_POS,347.2189,813.9,[M],[M+H]+,M347T814_POS,346.2116,3
[34],M348T814_POS,348.222,813.9,[M+1],[M+H]+,M347T814_POS,346.2116,3
[34],M349T814_POS,349.2251,813.9,[M+2],[M+H]+,M347T814_POS,346.2116,3
[35],M137T496_POS,137.0598,495.7,[M],[M+H]+,M137T496_POS,136.0525,1
[36],M84T67_POS,84.0448,67.2,[M],ISF,M147T65_POS,129.0424,7
[36],M86T63_POS,86.0605,62.8,[M],[M-CO2+H]+,M147T65_POS,129.0424,7
[36],M101T66_POS,101.0715,66.2,[M],ISF,M147T65_POS,129.0424,7
[36],M102T64_1_POS,102.0551,64.3,[M],ISF,M147T65_POS,129.0424,7
[36],M103T64_POS,103.0584,64.3,[M+1],ISF,M147T65_POS,129.0424,7
[36],M114T65_POS,114.0551,65.2,[M],[M-O+H]+,M147T65_POS,129.0424,7
[36],M147T65_POS,147.0763,65.2,[M],[M+NH4]+,M147T65_POS,129.0424,7
[37],M150T489_POS,150.0913,488.6,[M],[M+Na]+,M150T489_POS,127.102,1
[38],M144T78_POS,144.0654,77.7,[M],[M-CH2O+H]+,M156T78_POS,173.0686,3
[38],M156T78_POS,156.0653,78.3,[M],[M-H2O+H]+,M156T78_POS,173.0686,3
[38],M157T78_POS,157.0688,77.8,[M+1],[M-H2O+H]+,M156T78_POS,173.0686,3
[39],M164T453_POS,164.107,453.4,[M],[M+H]+,M164T453_POS,163.0997,1
[41],M189T279_POS,189.1273,278.7,[M],[M+H]+,M189T279_POS,188.12,1
[42],M193T157_POS,193.0858,157.2,[M],[M+NH4]+,M193T157_POS,175.0519,1
[43],M193T79_POS,193.0972,78.9,[M],[M+NH4]+,M193T79_POS,175.0633,1
[44],M219T711_POS,219.1741,710.6,[M],[M-H2O+H]+,M219T711_POS,236.1774,1
[45],M146T148_POS,146.0599,148.5,[M],ISF,M237T148_POS,236.0796,3
[45],M209T149_POS,209.0918,148.6,[M],[M-CO+H]+,M237T148_POS,236.0796,3
[45],M237T148_POS,237.08690000000001,148.3,[M],[M+H]+,M237T148_POS,236.0796,3
[46],M217T88_POS,217.1046,87.7,[M],ISF,M253T88_POS,252.1108,4
[46],M235T87_POS,235.1077,87.1,[M],[M-H2O+H]+,M253T88_POS,252.1108,4
[46],M253T88_POS,253.1181,87.8,[M],[M+H]+,M253T88_POS,252.1108,4
[46],M254T89_POS,254.1216,88.6,[M+1],[M+H]+,M253T88_POS,252.1108,4
[47],M267T101_POS,267.134,100.9,[M],[M+H]+,M267T101_POS,266.1267,1
[48],M267T733_POS,267.1719,732.9,[M],[M-H2O+H]+,M267T733_POS,284.1752,1
[49],M293T779_POS,293.2475,779.3,[M],[M+H]+,M293T779_POS,292.2402,2
[49],M294T779_POS,294.251,779.1,[M+1],[M+H]+,M293T779_POS,292.2402,2
[50],M299T502_POS,299.2369,501.6,[M],[M-H2O+H]+,M299T502_POS,316.2402,2
[50],M300T501_POS,300.2402,500.9,[M+1],[M-H2O+H]+,M299T502_POS,316.2402,2
[51],M304T472_POS,304.1175,471.6,[M],[M+NH4]+,M304T472_POS,286.0836,1
[52],M306T784_POS,306.2425,784.3,[M],[M+NH4]+,M306T784_POS,288.2086,2
[52],M307T784_POS,307.2461,784,[M+1],[M+NH4]+,M306T784_POS,288.2086,2
[53],M289T816_POS,289.2162,815.9,[M],[M-H2O+H]+,M307T814_POS,306.2196,4
[53],M290T815_POS,290.2195,815.4,[M+1],[M-H2O+H]+,M307T814_POS,306.2196,4
[53],M307T814_POS,307.2269,814.2,[M],[M+H]+,M307T814_POS,306.2196,4
[53],M308T814_POS,308.23,813.9,[M+1],[M+H]+,M307T814_POS,306.2196,4
[54],M291T814_POS,291.2318,813.9,[M],ISF,M309T815_POS,308.2352,4
[54],M309T815_POS,309.2425,814.8,[M],[M+H]+,M309T815_POS,308.2352,4
[54],M310T814_POS,310.2458,813.9,[M+1],[M+H]+,M309T815_POS,308.2352,4
[54],M311T815_POS,311.2558,814.8,[M+2],[M+H]+,M309T815_POS,308.2352,4
[55],M305T797_POS,305.2112,797.4,[M],ISF,M323T798_POS,322.2143,4
[55],M323T798_POS,323.2216,798,[M],[M+H]+,M323T798_POS,322.2143,4
[55],M324T798_POS,324.2249,798.5,[M+1],[M+H]+,M323T798_POS,322.2143,4
[55],M345T798_POS,345.2035,798.4,[M],[M+Na]+,M323T798_POS,322.2143,4
[56],M234T616_POS,234.1852,616.5,[M],ISF,M324T617_POS,306.2196,3
[56],M324T617_POS,324.2535,616.7,[M],[M+NH4]+,M324T617_POS,306.2196,3
[56],M325T617_POS,325.2565,616.6,[M+1],[M+NH4]+,M324T617_POS,306.2196,3
[57],M333T819_POS,333.2423,819.2,[M],[M-H2O+H]+,M333T819_POS,350.2456,4
[57],M334T819_POS,334.2453,819,[M+1],[M-H2O+H]+,M333T819_POS,350.2456,4
[57],M351T819_POS,351.2522,819,[M],[M+H]+,M333T819_POS,350.2456,4
[57],M352T819_POS,352.2562,819,[M+1],[M+H]+,M333T819_POS,350.2456,4
[58],M334T835_POS,334.2743,835.3,[M],[M+NH4]+,M334T835_POS,316.2404,2
[58],M335T835_POS,335.2774,835.2,[M+1],[M+NH4]+,M334T835_POS,316.2404,2
[59],M289T912_POS,289.2161,911.5,[M],ISF,M335T912_POS,334.2503,4
[59],M335T912_POS,335.2576,911.6,[M],[M+H]+,M335T912_POS,334.2503,4
[59],M336T912_POS,336.2607,911.7,[M+1],[M+H]+,M335T912_POS,334.2503,4
[59],M337T912_POS,337.2738,912.5,[M+2],[M+H]+,M335T912_POS,334.2503,4
