name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,score,isotope,adduct,Formula,matched.frag,compound.name,peak.group,confidence
M70T937_POS,70.01296,937.06128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M70T64_POS,70.06574,64.27295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M71T843_POS,70.56912,843.40149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M71T803_POS,70.81144,803.28159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M71T804_POS,70.92292,803.54785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M72T67_POS,72.08137,66.99327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M73T600_POS,72.5666,599.58405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M73T803_POS,72.70332,802.94836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M73T804_POS,72.81479,803.55853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M73T938_POS,72.93729,937.95285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M74T935_POS,73.53221,935.39883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M74T695_POS,73.76445,695.22598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M74T738_1_POS,73.82902,738.23669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M74T959_POS,74.06064,958.59985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M74T73_POS,74.06063,72.95395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M74T1023_POS,74.06064,1023.35452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M74T930_POS,74.09698,929.83148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
