"InChIKey","ClassyFy Status","Kingdom","Superclass","Class","Subclass","Parent Level 1","Parent Level 2","Parent Level 3","Parent Level 4","Parent Level 5"
"NTNWOCRCBQPEKQ-YFKPBYRVSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Arginine and derivatives"
"NUVBSKCKDOMJSU-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters","p-Hydroxybenzoic acid esters","p-Hydroxybenzoic acid alkyl esters"
"NVCUAFIUMZCPGV-HCGSYDDWNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal saponins"
"NXLTXRVPGUCAHF-JNQJZLCISA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Pregnane steroids","Gluco/mineralocorticoids, progestogins and derivatives"
"NYQURTLUMSJNPB-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Benzothiepins","Dibenzothiepins","Dibenzothiepins"
"NZEYWBNQKCRBFO-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Phenylalanine and derivatives"
"NZQQNPWOZBAVEC-WGIBKUGSNA-N","Completed","Organic compounds","Alkaloids and derivatives","Macroline alkaloids","","Macroline alkaloids"
"OCOKWMCPIIUWMI-JPFKHPQINA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Bicyclic monoterpenoids"
"OCWLYWIFNDCWRZ-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters","Fatty acid esters"
"ODHCTXKNWHHXJC-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Proline and derivatives"
"ODKSFYDXXFIFQN-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Arginine and derivatives"
"OEHAYUOVELTAPG-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Phenethylamines","Amphetamines and derivatives"
"OEXGWMJSOMQOBP-XVMBTQODSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids","Colensane and clerodane diterpenoids"
"OEYIOHPDSNJKLS-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Cholines"
"OFOBLEOULBTSOW-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives"
"OGZAJCFLQGWUMZ-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrazines","Pyrazines"
"OJADCNKLFKWRHJ-DTHZHFEHNA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters","m-Hydroxybenzoic acid esters"
"OKIIWFXZWJTTLY-UHFFFAOYSA-L","Completed","Organic compounds","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives"
"OLZTYAABSYLPBY-XGMKRDNWNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Naphthopyrans","","Naphthopyrans"
"OMDANBMKOUVKAG-UHFFFAOYNA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glycosyl compounds","Phenolic glycosides"
"OMFXVFTZEKFJBZ-HJTSIMOOSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Hydroxysteroids","21-hydroxysteroids"
"ONIBWKKTOPOVIA-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Proline and derivatives"
"OQDUBIXUEUDROW-AOYLNPPPNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolizines","","Quinolizines"
"ORTPQNXORFIZBB-SECBINFHSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty alcohols","Fatty alcohols"
"OSTOGLSZOICDLE-UHFFFAOYSA-N","Completed","Organic compounds","Organosulfur compounds","Thioethers","Aryl thioethers","Aryl thioethers"
"OTKJDMGTUTTYMP-UHFFFAOYSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Amines","Alkanolamines","1,2-aminoalcohols"
"OUYCCCASQSFEME-QMMMGPOBSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Tyrosine and derivatives"
"OVBKVWSHXDCSTK-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids"
"OVRNDRQMDRJTHS-RTRLPJTCSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Aminosaccharides","Amino sugars","Acylaminosugars"
"OWDPOEGUZYTAJW-SVGMAFHSNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Diazanaphthalenes","Benzodiazines","Quinoxalines","Phenazines and derivatives"
"OWOHLURDBZHNGG-RXMQYKEDSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives"
"OXWPLBIDMFXUJL-UHFFFAOYSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids"
"OYHQOLUKZRVURQ-HZJYTTRNSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives","Lineolic acids and derivatives"
"OYKAXBUWOIRLGF-VMBRNALUSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids"
"OYPNTPXIXGAEFG-MHTSTPQQNA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrimidodiazepines","","Pyrimidodiazepines"
"PAYRUJLWNCNPSJ-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Benzene and substituted derivatives","Aniline and substituted anilines","Aniline and substituted anilines"
"PAZIRMDVWSSYNT-NTUHNPAUNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids","Monocyclic monoterpenoids"
"PBAYDYUZOSNJGU-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pyrans","Pyranones and derivatives","Pyranones and derivatives"
"PDMMFKSKQVNJMI-PPRDLICTSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid esters","Steroid esters"
"PDMUULPVBYQBBK-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Phenol ethers","Anisoles","Anisoles"
"PHIQHXFUZVPYII-ZCFIWIBFSA-N","Completed","Organic compounds","Organic nitrogen compounds","Organonitrogen compounds","Quaternary ammonium salts","Carnitines"
"PIHGQKMEAMSUNA-UHFFFAOYSA-N","Completed","Organic compounds","Benzenoids","Naphthalenes","Nitronaphthalenes","Nitronaphthalenes"
"PISGDLOMGNKHKP-BMWASITENA-N","Completed","Organic compounds","Organoheterocyclic compounds","Quinolidines","","Quinolidines"
"PJUIMOJAAPLTRJ-UHFFFAOYSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Polyols","1,2-diols"
"PKYFHKIYHBRTPI-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Diazines","Pyrimidines and pyrimidine derivatives","Aminopyrimidines and derivatives"
