"variable_id","name","InChIKey","ClassyFy.Status","Kingdom","Superclass","Class","Subclass","Parent.Level.1","Parent.Level.2","Parent.Level.3","Parent.Level.4","Parent.Level.5"
"M1004T543_2_NEG","Palmityl-CoA","MNBKLUUYKPBKDU-BQVDOTMPNA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Fatty Acyls","Fatty acyl thioesters","Acyl CoAs","Long-chain fatty acyl CoAs","","",""
"M1007T429_NEG","D-(+)-Raffinose","MUPFEKGTMRGPLJ-ZQSKZDJDSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides","","","",""
"M1007T429_NEG","D-(+)-Raffinose","MUPFEKGTMRGPLJ-ZQSKZDJDSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides","","","",NA
"M1007T429_NEG","D-(+)-Raffinose","MUPFEKGTMRGPLJ-ZQSKZDJDSA-N","Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides","","","",NA
"M1018T398_POS","Brevetoxin B1","DRWBCFKGFOPJSK-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Diazanaphthalenes","Benzodiazines","Quinazolines","","",NA,NA
"M101T264_NEG","Acetoacetic acid","WDJHALXBUFZDSR-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Keto acids and derivatives","Short-chain keto acids and derivatives","Short-chain keto acids and derivatives","","","",NA
"M101T868_POS","N-Nitrosopyrrolidine","ARQXEQLMMNGFDU-XYFZXANASA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Coumarins and derivatives","Coumarin glycosides","Coumarin glycosides","","","",NA
"M102T199_NEG","Biuret","WBYWAXJHAXSJNI-UHFFFAOYSA-N","Completed","Organic compounds","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Cinnamic acids","Cinnamic acids","","","",NA
"M102T433_NEG","N,N-Dimethylglycine","FFDGPVCHZBVARC-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids",NA,NA
"M102T452_NEG","N,N-Dimethylglycine","FFDGPVCHZBVARC-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids",NA,NA
"M102T64_1_POS","Homoserine; CE30; UKAUYVFTDYCKQA-VKHMYHEASA-N","UKAUYVFTDYCKQA-VKHMYHEASA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","L-alpha-amino acids",NA
"M102T64_1_POS","Homoserine; CE30; UKAUYVFTDYCKQA-VKHMYHEASA-N","UKAUYVFTDYCKQA-VKHMYHEASA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","L-alpha-amino acids",NA
"M102T967_POS","1-Aminocyclopropane-1-carboxylate","BMQYVXCPAOLZOK-UHFFFAOYSA-N","Completed","Organic compounds","Organoheterocyclic compounds","Pteridines and derivatives","Pterins and derivatives","Biopterins and derivatives","","","",NA
"M1035T651_POS","α-tomatine","REJLGAUYTKNVJM-SGXCCWNXSA-N","Completed","Organic compounds","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal glycosides","Steroidal saponins","","","",""
"M103T140_NEG","Malonic acid","OFOBLEOULBTSOW-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives","","","",""
"M103T140_NEG","Malonic acid","OFOBLEOULBTSOW-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives","","","",NA
"M103T399_NEG","Hydroxypyruvic acid","HHDDCCUIIUWNGJ-UHFFFAOYSA-N","Completed","Organic compounds","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives","","","",NA
