"","Sample2_1","Sample3_1","Sample4_1","DI_1","Sample2_2","Sample3_2","Sample5_2","Sample7_2","DI_2","Sample2_4","Sample3_3","Sample4_3","Sample4_4","Sample5_3","Sample9_3","DI_3"
"M71T433_1_NEG",6.48206542219382,6.49771574823062,6.32790640843834,5.88250698388767,6.48629557583903,6.33095699069449,6.58971815863356,6.56645286688141,7.08311395830436,6.40812416103538,6.3442336192603,6.1950347847532,7.15189857096871,6.10811300314251,5.96552424144522,5.98525190869755
"M71T265_NEG",8.03962276811283,7.94824487221382,8.24801356291304,8.08653607908692,8.06016949736295,8.01412554758266,7.86148799871271,7.97574878987066,8.72650325880259,7.89084572323983,7.90538595880611,8.12275398096657,8.23845533100064,8.08001190735292,8.27782477612417,8.17767312051369
"M71T398_NEG",7.40179233042516,7.46046861815387,7.3037834905066,7.77510145239667,7.51966728568446,7.55618450774632,7.83133907853986,7.54446251930972,7.80517381524235,7.55068034956289,7.50504691159202,7.60122781868461,7.75005436613225,7.47669493874588,7.91581248857168,7.79636520188842
"M71T327_NEG",7.52957777574095,7.3838831571281,7.66951371080242,7.57080556347174,7.07592807148851,7.43698071894999,7.57318742402296,7.78297779203161,8.30269324290287,7.40694172028777,7.89237446159984,7.33688369525835,8.36926919898816,7.389934029224,7.56004201488043,7.60603782976704
"M72T399_NEG",7.79684543566156,7.9453903921809,7.60985841744587,8.24889344787843,7.77033314654237,7.8314472191883,8.07638429737179,7.59697178493566,8.06408639024781,7.56723604086504,7.50638493374182,7.84171022712654,7.92685948380334,7.66152119429424,8.2224552014744,8.37594975224231
"M72T265_NEG",5.97150320656225,6.3127420445166,6.43706562380036,6.34145113514418,6.28417730020046,6.34189693761688,5.66690186962387,6.32663027538227,7.05251350008973,6.33116922112307,6.39315808651575,6.39598481742306,6.56673964450408,6.3688396293447,6.67242277711687,6.46316907683192
"M72T427_NEG",6.39543315372202,6.91494410826213,6.65154615469986,6.01934529155276,5.82545219306669,6.44228192267442,6.90955990735942,6.51636199086573,7.10675311843568,6.21408344086364,7.26942885997112,6.24654077823533,6.58450404115366,5.92569830492111,6.53039763163329,6.52778535467077
"M72T432_NEG",6.27796291003633,6.15597889818356,5.98501238590961,6.25222075007554,6.18865657976187,6.16637340953165,6.49690204398007,6.13704561077903,6.47088105472097,6.01846129934032,6.52570524488497,6.12053170215798,6.43302587983813,6.09112150454511,6.08031605957764,6.47871882480306
"M73T78_NEG",6.61413843956112,6.55337283831183,6.47418744141247,6.58340457306921,6.63917538034991,6.53311769723841,6.68218752528243,6.67412639494688,6.59452786134598,6.62892080559602,6.61380037086923,6.60441555027079,6.67553840998918,6.63917751191462,6.6019771705108,6.62442836478564
"M74T459_NEG",6.61405952553693,7.01166670530695,7.05558132588811,7.16991605364482,6.64778054544426,6.75533534883455,7.34598132198535,7.35897518119633,7.39010843455033,6.71184227335515,7.19946720554263,6.67362286568253,7.43524215563672,6.82434353950967,7.08149182364152,7.24599347181181
