peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,QC,Size1,Size2,Size3,Size4,Size5,Size6,QC_N,QC1_1,QC1_2,QC2_1,QC2_2,QC3_1,QC3_2,QC4_1,QC4_2,Size_1_1,Size_1_2,Size_1_3,Size_2_1,Size_2_2,Size_2_3,Size_3_1,Size_3_2,Size_3_3,Size_4_1,Size_4_2,Size_5_1,Size_5_2,Size_6_1,Size_6_2
M70T66_NEG,70.05925868803803,70.05924367550952,70.05927370056655,66.27236557006836,65.49297332763672,67.0517578125,2,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,887400.7836287491,NA,NA,NA,1515711.097032031,NA
M70T72_NEG,70.24600972689528,70.2459597234761,70.24631801961986,72.34001159667969,69.6611328125,79.86676025390625,12,5,1,2,2,0,1,1,555554.966929375,1442061.6592007207,507725.93305468874,NA,NA,NA,NA,1075548.4927635936,942799.2326699999,NA,1339754.4497217957,NA,1255538.791345314,848408.0910659587,NA,1738794.0398331233,NA,1738794.0398331233,NA,NA,NA,403286.5822843749,NA,773564.9011363632
M70T65_NEG,70.39136657820424,70.39136657820424,70.39136657820424,64.63814544677734,64.63814544677734,64.63814544677734,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,967015.571016249,NA,NA,NA,NA,NA
M71T94_NEG,70.60723979232807,70.60723979232807,70.60723979232807,94.20963287353516,94.20963287353516,94.20963287353516,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430645.57235989557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M71T433_1_NEG,70.79956364175413,70.79947142367668,70.79962421520621,432.8219451904297,430.66241455078125,434.73736572265625,16,9,0,3,0,0,2,2,1637305.153401989,1764034.4896768439,2421194.0571000064,1396007.9509062523,1718035.0623105518,885055.2736339247,2435332.8545859335,1119992.2973437523,720393.7583810748,NA,NA,NA,17172192.535633214,3704942.5056944466,3399307.6189453173,NA,NA,NA,NA,NA,896823.9836093736,1527061.8534166676,1385472.9325687443,10998625.045943147
M71T66_NEG,70.8162390048268,70.81622906039601,70.81624894925758,66.32098388671875,66.28681945800781,66.35514831542969,2,2,0,0,0,0,0,0,NA,NA,NA,NA,892357.6578408865,NA,741718.2135331247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M71T432_NEG,70.91101959230949,70.91097760685598,70.91106157776298,431.663818359375,431.4093017578125,431.9183349609375,2,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2140764.866093762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1756658.4950590348
M71T155_NEG,70.94447904542628,70.94444513457434,70.9445434383341,155.263,151.286865234375,165.85862731933594,15,5,3,3,0,1,1,2,1353250.125984376,NA,2280564.785453124,NA,2023839.5994720962,NA,2222926.098421874,NA,1702649.757916666,891254.4150781229,1602892.2138958338,1507009.0120454552,1784930.0326023456,3981664.662261517,1324274.6092988276,NA,NA,NA,NA,2526443.863346594,NA,1519556.0208636366,943460.6763749977,4596698.391610293
M71T263_NEG,71.01223715183923,71.0122127249809,71.01229527361458,263.1809997558594,261.48516845703125,265.05389404296875,23,8,3,3,3,2,2,2,167071706.3867487,253523462.8101031,193206562.4756982,NA,187559350.26851827,142192498.1557501,191099076.41847005,155355366.74418604,179488136.67954534,143084982.32186764,124426686.73496489,89454261.9127977,204514572.48938236,79952951.08252212,104837259.98581845,121088912.57201757,195966665.1505136,121088912.57201757,155379147.84531903,112285970.97121032,132117406.58280106,182124692.91974375,228408331.69434565,601249640.5691206
M71T399_NEG,71.01225962152343,71.0100650533662,71.01231843062395,398.58477783203125,378.1535339355469,399.7147216796875,25,8,3,3,3,2,2,2,26154816.792545497,35239139.06814838,31315127.68816002,NA,30449729.80344748,30142441.85204345,30187602.990151253,21954277.761926502,3943990.997984378,21836160.26020569,23791134.195583373,19682924.659884598,37942728.50928568,40983935.15338496,20032409.890707526,22915586.77583629,20109496.9331836,22915586.77583629,24951921.74684507,24523420.835704595,46444181.60084999,54746619.86311524,68576979.84683922,34229603.81804478
M71T199_NEG,71.01223747445331,71.01220225082025,71.0122970481079,199.36654663085938,198.03408813476562,202.6761016845703,22,7,3,3,3,2,2,2,24332740.617463555,NA,30415729.455871623,NA,29589191.935769245,32991465.596249968,28634949.640524663,28631737.25803487,27825777.413556818,29098363.51206888,19689787.84465482,26045618.65124065,43688963.469733804,33095866.368958917,15509659.835968738,22905738.509218764,29853281.8822052,22905738.509218764,30859241.583162252,20374184.841596257,34687181.362032525,49791474.14934202,24120424.08229779,45098234.930761345
M71T326_NEG,71.0122517136667,71.01222389718633,71.01229786870432,325.9694061279297,325.0941467285156,327.5057067871094,20,8,2,3,1,2,2,2,54980960.85915182,138839585.52505675,31870087.52575527,NA,26822488.64677939,59680099.72636892,31568725.992586967,20841178.180265598,27911042.81971196,14934014.722799985,10395835.706840778,NA,140147399.81702816,28401948.186584037,43481967.427492514,NA,54622442.583163746,NA,12887714.261812525,22973575.364761356,33979390.864205815,25992532.10431998,22965498.383743044,129373822.66725008
M71T433_2_NEG,71.01225227415932,71.01220775794916,71.01230320539253,433.159912109375,430.5754089355469,449.6999206542969,16,5,3,3,1,0,2,2,16540541.97165622,NA,16747905.338226581,NA,29429402.883198306,NA,19712677.3009643,NA,53173424.03300003,11445941.455000041,31858305.765856452,15895117.578415642,26740965.578296065,17976877.033499952,12013410.227076935,NA,39305780.38116983,NA,NA,NA,61299700.01492362,25525196.16966076,27637422.30906774,31546858.063500036
M71T309_NEG,71.0122427856873,71.01220388347733,71.0122925284027,309.35094018554685,308.1895446777344,310.34954833984375,10,5,2,0,0,1,0,2,NA,NA,28911909.21856407,NA,28919426.81643309,NA,22004601.44849997,25159320.961764637,27287748.3175132,14480804.42357568,NA,7876335.636088164,NA,NA,NA,NA,NA,NA,14959411.909361105,NA,NA,NA,29234856.93476562,122159581.07206258
M71T171_NEG,71.01225952091698,71.01224903945217,71.01228514987648,170.6131134033203,168.9390869140625,174.43450927734375,6,1,0,2,0,1,2,0,NA,NA,NA,NA,NA,9980568.534463244,NA,NA,NA,NA,NA,NA,6917065.132700896,4430670.738706732,NA,NA,NA,NA,NA,3151505.289656252,8187292.642477268,7283354.878124169,NA,NA
M71T74_NEG,71.01226048963825,71.01221758129265,71.01226641949847,73.69318389892578,72.54118347167969,78.83892822265625,3,2,0,0,1,0,0,0,NA,16556205.12346501,NA,NA,NA,12431606.74141025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8818477.144101283,NA,NA,NA,NA,NA,NA,NA
M71T366_NEG,71.01226232356967,71.01223436603591,71.01229028110345,365.85462951660156,364.2707824707031,367.4384765625,2,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,10156592.826562492,NA,NA,NA,NA,NA,NA,NA,3413217.60998698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
