GeneID	GOTerms_num	GO_Anno	KEGG_entry	KEGG_url	KOG_class	KOG_class_annotation	NR_ID	E_value	Identity	Score	Annotation	NT_ID	E_value	Identity	Score	Annotation	Swissprot_ID	E_value	Identity	Score	Annotation	category
HJ_1-10k_transcript/320907	--	--	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	--	--	AMM04377.1	2.50E-16	57/117(48.72)	92	UDP-xylose synthase [Albuca bracteata]	--	--	--	--	--	sp|P35063|H2AX_PICAB	3.50E-06	31/54(57.41)	53	Histone H2AX OS=Picea abies PE=2 SV=1	AXS
HJ_1-10k_transcript/240211	--	--	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04374.1	3.10E-194	330/348(94.83)	684	UDP-xylose synthase [Albuca bracteata]	XM_020418201.1	0	887/978(90.70)	1.30E+03	"PREDICTED: Asparagus officinalis UDP-glucuronic acid decarboxylase 6-like (LOC109848606), mRNA"	sp|Q9SN95|UXS5_ARATH	5.10E-177	297/337(88.13)	622	UDP-glucuronic acid decarboxylase 5 OS=Arabidopsis thaliana GN=UXS5 PE=2 SV=1	AXS
HJ_1-10k_transcript/63192	--	--	K12449|AXS	http://www.genome.jp/dbget-bin/www_bget?ko:K12449	--	--	AMM04380.1	5.90E-56	124/207(59.90)	225	UDP-D-apiose/UDP-D-xylose synthase [Albuca bracteata]	KT757278.1	2.00E-111	324/372(87.10)	4.14E+02	"Ornithogalum longebracteatum UDP-D-apiose/UDP-D-xylose synthase (UAXS1) mRNA, complete cds"	sp|Q9SGE0|AXS2_ARATH	1.60E-49	111/207(53.62)	199	UDP-D-apiose/UDP-D-xylose synthase 2 OS=Arabidopsis thaliana GN=AXS2 PE=2 SV=1	AXS
HJ_1-10k_transcript/225527	--	--	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04374.1	5.60E-194	329/348(94.54)	6.83E+02	UDP-xylose synthase [Albuca bracteata]	XM_020418201.1	0	885/978(90.49)	1.29E+03	"PREDICTED: Asparagus officinalis UDP-glucuronic acid decarboxylase 6-like (LOC109848606), mRNA"	sp|Q9SN95|UXS5_ARATH	1.20E-176	296/337(87.83)	620	UDP-glucuronic acid decarboxylase 5 OS=Arabidopsis thaliana GN=UXS5 PE=2 SV=1	AXS
HJ_1-10k_transcript/247844	1	GO:0016021: integral component of membrane (cellular_component);	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04377.1	7.20E-198	340/378(89.95)	696	UDP-xylose synthase [Albuca bracteata]	XM_020415919.1	0	1013/1170(86.58)	1.26E+03	"PREDICTED: Asparagus officinalis UDP-glucuronic acid decarboxylase 1-like (LOC109846671), mRNA"	sp|Q8VZC0|UXS1_ARATH	1.20E-172	303/381(79.53)	607	UDP-glucuronic acid decarboxylase 1 OS=Arabidopsis thaliana GN=UXS1 PE=1 SV=1	AXS
HJ_1-10k_transcript/209937	2	GO:0003824: catalytic activity (molecular_function); GO:0050662: coenzyme binding (molecular_function);	K12449|AXS	http://www.genome.jp/dbget-bin/www_bget?ko:K12449	--	--	AMM04380.1	3.90E-217	361/391(92.33)	760	UDP-D-apiose/UDP-D-xylose synthase [Albuca bracteata]	XM_020421333.1	0	1022/1174(87.05)	1.31E+03	"PREDICTED: Asparagus officinalis UDP-D-apiose/UDP-D-xylose synthase 2-like (LOC109851273), mRNA"	sp|Q9SGE0|AXS2_ARATH	5.80E-209	343/392(87.50)	728	UDP-D-apiose/UDP-D-xylose synthase 2 OS=Arabidopsis thaliana GN=AXS2 PE=2 SV=1	AXS
HJ_1-10k_transcript/5798	--	--	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04377.1	1.60E-151	272/315(86.35)	543	UDP-xylose synthase [Albuca bracteata]	XM_020415919.1	0	821/953(86.15)	9.92E+02	"PREDICTED: Asparagus officinalis UDP-glucuronic acid decarboxylase 1-like (LOC109846671), mRNA"	sp|Q8VZC0|UXS1_ARATH	1.30E-125	233/316(73.73)	453	UDP-glucuronic acid decarboxylase 1 OS=Arabidopsis thaliana GN=UXS1 PE=1 SV=1	AXS
HJ_1-10k_transcript/226415	--	--	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04377.1	3.20E-165	291/336(86.61)	587	UDP-xylose synthase [Albuca bracteata]	XM_020415919.1	0	873/1013(86.18)	1.06E+03	"PREDICTED: Asparagus officinalis UDP-glucuronic acid decarboxylase 1-like (LOC109846671), mRNA"	sp|Q8VZC0|UXS1_ARATH	2.90E-138	249/337(73.89)	493	UDP-glucuronic acid decarboxylase 1 OS=Arabidopsis thaliana GN=UXS1 PE=1 SV=1	AXS
HJ_1-10k_transcript/202278	1	GO:0016021: integral component of membrane (cellular_component);	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04377.1	7.60E-208	367/415(88.43)	729	UDP-xylose synthase [Albuca bracteata]	KT757275.1	0	1067/1250(85.36)	1.27E+03	"Ornithogalum longebracteatum UDP-xylose synthase (UXS4) mRNA, complete cds"	sp|Q8VZC0|UXS1_ARATH	1.60E-177	319/419(76.13)	624	UDP-glucuronic acid decarboxylase 1 OS=Arabidopsis thaliana GN=UXS1 PE=1 SV=1	AXS
HJ_1-10k_transcript/53128	--	--	"K08678|UXS1, uxs"	http://www.genome.jp/dbget-bin/www_bget?ko:K08678	[GM]	--	AMM04377.1	1.00E-151	272/315(86.35)	543	UDP-xylose synthase [Albuca bracteata]	XM_020415919.1	0	822/953(86.25)	9.98E+02	"PREDICTED: Asparagus officinalis UDP-glucuronic acid decarboxylase 1-like (LOC109846671), mRNA"	sp|Q8VZC0|UXS1_ARATH	8.50E-126	233/316(73.73)	453	UDP-glucuronic acid decarboxylase 1 OS=Arabidopsis thaliana GN=UXS1 PE=1 SV=1	AXS
HJ_1-10k_transcript/201268	2	GO:0048040: UDP-glucuronate decarboxylase activity (molecular_function); GO:0050662: coenzyme binding (molecular_function);	K12449|AXS	http://www.genome.jp/dbget-bin/www_bget?ko:K12449	--	--	AMM04380.1	1.00E-217	359/390(92.05)	762	UDP-D-apiose/UDP-D-xylose synthase [Albuca bracteata]	XM_020421333.1	0	1026/1192(86.07)	1.27E+03	"PREDICTED: Asparagus officinalis UDP-D-apiose/UDP-D-xylose synthase 2-like (LOC109851273), mRNA"	sp|Q9SGE0|AXS2_ARATH	2.00E-209	342/389(87.92)	729	UDP-D-apiose/UDP-D-xylose synthase 2 OS=Arabidopsis thaliana GN=AXS2 PE=2 SV=1	AXS
